,Peter Hall Building UniMelb,Proud Mary Coffee,Patricia Coffee Brewers,Seven Seeds Coffee Roasters,Industry Beans Fitzroy,Market Lane Coffee HQ,ST. ALi Coffee Roasters,Code Black Coffee Brunswick,Axil Coffee Roasters,Dukes Coffee Roasters,Rumble Coffee Roasters,Wide Open Road,Aunty Peg's,Brother Baba Budan,Lune Croissanterie Fitzroy,Small Batch Roasting Co.,Padre Coffee Brunswick East,Jasper Coffee Fitzroy,Everyday Coffee,MAKER Coffee South Yarra,Square Lane Coffee,Disciple Roasters,Coffee Supreme,Market Lane Prahran Market,Veneziano Coffee Richmond,Five Senses Coffee,Standing Room Fitzroy North,Bench Coffee Co. Roastery,Path Melbourne,Little Rogue,Vacation Coffee CBD,Market Lane Carlton,Traveller Coffee,Core Roasters,Project Zero
Peter Hall Building UniMelb,0.0,5.46,6.2083,3.2833,3.5867,6.2317,9.53,4.8817,12.8567,6.79,6.0617,4.4467,6.025,5.1367,4.11,4.4667,6.7533,3.425,4.7717,11.615,9.6633,4.385,9.3033,13.015,10.87,6.035,4.565,8.6183,4.53,5.1117,5.7833,2.2067,4.6867,5.0983,6.0017
Proud Mary Coffee,6.4733,0.0,7.8883,6.5783,3.97,7.615,10.5933,8.8333,9.795,7.0333,10.41,8.795,1.075,6.8417,3.4183,7.1683,9.3367,2.8417,1.885,8.79,6.8383,8.7333,6.1217,10.19,7.6883,8.3733,5.1517,12.1017,7.1617,5.9817,5.45,5.5167,5.5567,7.3533,6.985
Patricia Coffee Brewers,5.4,7.9917,0.0,3.6933,7.92,10.0567,4.8533,7.64,12.1733,5.0517,6.2317,7.205,8.6217,2.5883,8.275,3.39,10.48,7.3883,8.9667,8.885,8.6683,7.1433,9.6817,9.6917,10.42,3.695,8.8983,11.3767,3.245,2.6267,4.51,5.5367,2.7483,8.6933,2.9817
Seven Seeds Coffee Roasters,2.2783,6.3083,3.79,0.0,5.805,7.9417,7.0867,5.525,11.5517,5.44,5.4667,5.09,6.9383,3.1183,6.3883,1.9383,8.365,5.7033,7.05,10.31,8.3583,5.0283,7.9983,11.71,9.565,3.5917,6.7833,9.2617,2.0017,3.1233,4.4783,2.6517,3.3367,6.5783,3.9833
Industry Beans Fitzroy,4.7133,3.6283,7.025,5.7133,0.0,5.27,10.2567,6.4883,11.67,6.6967,8.065,6.45,4.1933,5.9783,0.9667,6.3033,6.9917,1.5933,2.9083,10.4283,8.4767,6.3883,8.1167,11.8283,9.6833,7.5083,2.685,9.7567,6.2967,5.1183,5.1133,3.7567,4.6933,5.0083,6.6483
Market Lane Coffee HQ,6.205,7.5167,8.785,6.1667,4.5583,0.0,12.0817,1.6483,14.635,9.8417,7.9333,1.8233,8.0817,8.5233,5.3583,7.055,2.2117,5.4817,6.5667,13.5733,11.6217,1.9783,11.1067,14.9733,12.6733,8.5867,3.5633,4.9767,7.1183,8.2633,8.2583,5.8533,7.8383,0.63,9.3883
ST. ALi Coffee Roasters,8.74,10.6217,4.585,7.0333,11.26,13.3967,0.0,10.98,10.55,5.465,8.4983,10.545,11.055,5.72,11.5833,6.7183,13.82,10.3183,11.0783,6.4317,7.4017,10.4833,10.3217,7.2383,9.155,5.51,12.2383,14.7167,6.5733,6.34,5.91,9.07,6.4617,12.0333,4.5567
Code Black Coffee Brunswick,6.0567,8.6817,7.7367,5.1183,5.7233,2.9667,11.0333,0.0,15.8,9.975,6.885,0.8833,9.2467,7.475,6.5233,6.0067,3.0133,6.6467,7.7317,14.7383,12.7867,0.9033,12.2717,16.1383,13.8383,7.5383,4.7283,4.295,6.07,7.48,9.0133,6.3433,7.76,1.6967,8.34
Axil Coffee Roasters,12.1067,9.9517,11.6867,11.7367,11.2467,14.4317,10.6383,15.65,0.0,10.0967,15.855,15.6117,9.75,11.08,11.4917,12.3267,16.1117,11.045,9.7167,7.7517,8.0933,15.55,5.3983,8.965,3.285,13.5317,11.9683,18.7483,12.32,10.8167,8.2383,11.5483,10.3917,14.17,10.4867
Dukes Coffee Roasters,5.685,7.5333,2.8833,4.835,8.7233,11.2717,5.19,8.93,11.1433,0.0,8.37,8.495,8.1633,2.2633,8.195,5.11,11.77,6.93,8.605,9.4267,7.7067,8.4333,9.2233,10.2333,9.195,5.8333,9.7017,12.6667,5.1733,2.955,3.285,5.86,3.0767,9.9833,0.9717
Rumble Coffee Roasters,6.4033,10.285,6.5217,5.1833,7.3267,9.2717,8.245,6.855,15.9767,9.865,0.0,6.42,10.7283,7.3533,7.9883,4.68,9.695,8.25,9.1967,13.205,12.7833,6.3583,12.4233,14.0117,13.99,4.4283,8.305,10.5917,4.7433,7.3583,8.9033,6.7333,7.555,7.9083,8.2183
Wide Open Road,5.675,8.6167,7.355,4.7367,5.6583,2.9883,10.6517,0.8283,15.6417,9.5933,6.5033,0.0,9.105,7.0933,6.365,5.625,3.4117,6.5817,7.5733,14.4633,12.5117,0.4017,12.1133,15.8633,13.68,7.1567,4.6633,4.565,5.6883,7.0983,8.6317,5.9617,7.3783,1.625,7.9583
Aunty Peg's,7.1867,1.4167,8.1267,6.8167,4.995,8.4667,10.8317,9.685,9.4517,7.2717,10.935,9.6467,0.0,7.08,4.4433,7.4067,10.1883,3.8667,2.4617,8.4467,6.495,9.585,5.9233,9.8467,7.49,8.6117,6.0033,12.9533,7.4,6.22,5.6883,6.5417,5.795,8.205,7.2233
Brother Baba Budan,5.1483,7.66,2.6067,4.2983,8.32,10.81,6.03,8.3933,12.3717,5.2433,7.1283,7.9583,8.29,0.0,7.9433,4.2867,11.2333,7.0567,8.635,10.2667,9.06,7.8967,9.35,11.0733,10.4233,4.5917,9.2983,12.13,4.1417,2.295,4.6383,5.205,2.4167,9.4467,3.1217
Lune Croissanterie Fitzroy,5.0917,3.205,7.7533,5.8683,1.215,5.16,10.985,6.3783,11.4433,7.425,7.955,6.34,3.77,6.7067,0.0,6.7567,6.8817,1.905,2.0933,10.4383,8.4867,6.2783,7.915,11.8383,9.4817,8.2367,2.6967,9.6467,6.82,5.8467,5.8417,4.485,5.4217,4.8983,7.3767
Small Batch Roasting Co.,3.8867,7.1667,3.3917,2.1117,6.455,8.5917,6.5683,6.175,12.41,6.2983,4.7,5.74,7.7967,3.9617,7.1167,0.0,9.015,6.5633,8.2383,10.995,9.2167,5.6783,8.8567,11.8017,10.4233,2.6567,7.4333,9.9117,0.7283,3.9667,5.3367,4.265,4.195,7.2283,4.8267
Padre Coffee Brunswick East,7.8217,9.1333,10.4017,7.7833,6.175,3.4467,13.6983,2.9583,16.1217,11.4583,9.55,3.44,9.6983,10.14,6.975,8.6717,0.0,7.0983,8.1833,15.1167,13.165,3.595,12.5933,16.5167,14.16,10.2033,5.18,3.2167,8.735,9.88,9.875,7.47,9.455,2.2467,11.005
Jasper Coffee Fitzroy,4.4433,2.7383,6.6367,5.325,1.8167,5.7833,9.8683,7.0017,10.975,6.3083,8.69,6.985,3.3033,5.59,1.265,5.915,7.505,0.0,2.05,9.7333,7.7817,7.0133,7.4217,11.1333,8.9883,7.12,3.31,10.27,5.9083,4.73,4.725,3.4867,4.305,5.5217,6.26
Everyday Coffee,5.7367,1.9467,8.1717,6.86,3.2083,6.4417,11.1517,7.66,9.7033,7.8433,9.2367,7.6217,1.9533,7.125,2.6817,7.45,8.1633,2.105,0.0,8.6983,6.7467,7.56,6.175,10.0983,7.7417,8.655,3.9783,10.9283,7.4433,6.265,6.26,4.78,5.84,6.18,7.795
MAKER Coffee South Yarra,10.78,8.8833,8.73,10.41,10.2367,13.4217,6.0483,14.64,7.6617,7.3483,13.3233,14.3883,8.6817,9.3633,10.4817,11.0,15.1433,10.0333,8.705,0.0,3.7733,14.3267,7.88,2.0133,7.1733,10.6817,10.9583,17.8667,10.9933,9.245,6.4933,10.2217,8.82,13.16,8.0717
Square Lane Coffee,8.8567,7.1183,7.7483,8.4867,8.4717,11.6567,6.8333,12.875,7.455,6.0617,12.605,12.465,6.9167,7.1417,8.7167,9.0767,13.3783,8.2683,6.94,4.3117,0.0,12.4033,6.5433,5.7117,5.8367,9.9883,9.1933,16.1017,9.07,6.8617,4.11,8.2983,6.4367,11.395,6.5483
Disciple Roasters,5.6133,8.6,7.2933,4.675,5.6417,3.2533,10.59,0.9583,15.58,9.5317,6.4417,0.4017,9.0433,7.0317,6.3033,5.5633,3.6767,6.565,7.5117,14.4017,12.45,0.0,12.0517,15.8017,13.6183,7.095,4.71,4.695,5.6267,7.0367,8.57,5.9,7.3167,1.89,7.8967
Coffee Supreme,8.5567,6.3167,9.4967,8.1867,7.7683,10.9533,11.025,12.1717,5.51,8.6417,12.305,12.1333,6.2133,8.45,8.0133,8.7767,12.675,7.565,6.2367,7.8883,6.62,12.0717,0.0,9.39,2.8117,9.9817,8.49,15.3983,8.77,7.59,6.8967,7.9983,7.165,10.6917,8.5933
Market Lane Prahran Market,12.0333,10.1367,9.2767,11.6633,11.49,14.675,6.595,15.8933,9.7617,7.895,13.87,15.6417,9.935,9.91,11.735,11.8417,16.3967,11.2867,9.9583,2.9433,6.315,15.58,9.8583,0.0,9.3033,11.2283,12.2117,19.12,11.6967,10.1767,7.7467,11.475,9.7517,14.4133,8.6183
Veneziano Coffee Richmond,10.3083,8.1533,9.8883,9.9383,9.5067,12.6917,10.2633,13.91,3.2633,8.2983,14.0567,13.8717,7.9517,9.2817,9.7517,10.5283,14.4133,9.3033,7.975,7.445,6.295,13.81,3.1567,8.7433,0.0,11.7333,10.2283,17.1367,10.5217,9.0183,6.44,9.75,8.5933,12.43,8.6883
Five Senses Coffee,5.39,8.505,4.0,3.6833,7.91,10.0467,5.575,7.63,13.65,7.6367,4.305,7.195,9.135,4.8733,8.5717,3.175,10.47,7.9017,9.5767,10.505,10.555,7.1333,10.195,11.3117,11.7617,0.0,8.8883,11.3667,3.03,4.9117,6.675,5.72,5.0333,8.6833,5.7383
Standing Room Fitzroy North,5.5767,5.04,8.585,6.3533,2.3367,3.365,11.8167,4.5833,11.9833,8.2567,8.44,4.5667,5.4467,7.5383,2.5817,7.2417,5.0867,3.2667,3.915,10.9783,9.0267,4.615,8.455,12.3783,10.0217,8.7733,0.0,7.8517,7.305,6.6783,6.6733,5.2633,6.2533,3.1033,8.2083
Bench Coffee Co. Roastery,9.49,11.7,11.17,8.5517,8.7417,6.0133,14.4667,4.1017,18.6183,13.4083,9.8767,4.3167,12.265,10.9083,9.5417,9.44,2.7517,9.665,10.75,17.6133,15.6617,4.3367,15.09,19.0133,16.6567,10.9717,7.7467,0.0,9.5033,10.9133,12.4417,9.7767,11.1933,4.8133,11.7733
Path Melbourne,3.91,6.9067,3.1317,2.2033,6.43,8.5667,6.3083,6.15,12.15,6.0383,4.5867,5.715,7.5367,4.005,7.0917,1.0567,8.99,6.3033,7.9783,10.735,8.9567,5.6533,8.5967,11.5417,10.1633,2.3967,7.4083,9.8867,0.0,4.0367,5.0767,4.2133,3.935,7.2033,4.87
Little Rogue,4.2983,6.1317,2.9167,3.8983,6.7917,9.34,6.34,7.9933,10.8433,3.715,7.4333,7.5583,6.7617,1.87,6.415,4.1733,10.37,5.5283,7.1067,9.2717,7.5317,7.4967,7.8217,10.5417,8.895,4.8967,7.77,11.73,4.2367,0.0,3.11,3.6767,0.8883,8.715,2.735
Vacation Coffee CBD,5.07,5.31,3.9617,4.7,6.7967,9.345,5.5017,9.1133,8.1867,2.4967,8.8183,8.6783,5.94,3.355,6.2683,5.29,11.0667,5.0033,6.3817,6.48,4.74,8.6167,6.8183,7.9817,6.2383,6.495,7.775,12.85,5.2833,3.075,0.0,4.5117,2.65,9.0833,2.7617
Market Lane Carlton,1.555,5.6433,5.6983,3.0367,4.3367,6.9817,9.0383,6.4367,11.28,5.47,6.76,6.0017,6.2083,4.6517,4.2933,4.1333,7.535,3.6083,4.955,10.0383,8.0867,5.94,7.7267,11.4383,9.2933,5.6033,5.315,10.1733,4.1967,3.7917,4.2067,0.0,3.3667,5.88,5.5167
Traveller Coffee,3.41,5.2433,3.055,3.04,5.9033,8.4517,6.395,7.4533,9.955,2.8267,7.1583,7.0183,5.8733,2.0083,5.5267,3.63,9.4817,4.64,6.2183,8.3833,6.6433,6.9567,6.9333,9.6533,8.0067,4.835,6.8817,11.19,3.6233,1.1483,2.2217,2.7883,0.0,7.8267,2.8733
Core Roasters,6.1933,7.1283,8.7733,6.155,4.17,1.3633,12.07,1.6967,14.2467,9.4533,7.9217,1.68,7.6933,8.5117,4.97,7.0433,2.2217,5.0933,6.1783,13.185,11.2333,1.835,10.7183,14.585,12.285,8.575,3.175,4.9867,7.1067,7.875,7.87,5.8417,7.45,0.0,9.3767
Project Zero,6.21,7.955,2.365,5.3467,9.145,11.6933,4.2183,9.2933,11.4917,4.2483,7.885,8.8583,8.585,2.81,8.6167,5.0433,12.1333,7.3517,9.0267,8.455,7.9867,8.7967,9.645,9.2617,9.6167,5.3483,10.1233,13.03,4.8983,3.3633,3.7067,6.2733,3.485,10.3467,0.0
