,Peter Hall Building UniMelb,Proud Mary Coffee,Patricia Coffee Brewers,Seven Seeds Coffee Roasters,Industry Beans Fitzroy,Market Lane Coffee HQ,ST. ALi Coffee Roasters,Code Black Coffee Brunswick,Axil Coffee Roasters,Dukes Coffee Roasters,Rumble Coffee Roasters,Wide Open Road,Aunty Peg's,Brother Baba Budan,Lune Croissanterie Fitzroy,Small Batch Roasting Co.,Padre Coffee Brunswick East,Jasper Coffee Fitzroy,Everyday Coffee,MAKER Coffee South Yarra,Square Lane Coffee,Disciple Roasters,Coffee Supreme,Market Lane Prahran Market,Veneziano Coffee Richmond,Five Senses Coffee,Standing Room Fitzroy North,Bench Coffee Co. Roastery,Path Melbourne,Little Rogue,Vacation Coffee CBD,Patricia Coffee Brewers,Market Lane Carlton,Traveller Coffee,Core Roasters,Project Zero
Peter Hall Building UniMelb,0.0000,5.4600,6.2083,3.2833,3.5867,6.2317,9.5300,4.8817,12.8567,6.7900,6.0617,4.4467,6.0250,5.1367,4.1100,4.4667,6.7533,3.4250,4.7717,11.6150,9.6633,4.3850,9.3033,13.0150,10.8700,6.0350,4.5650,8.6183,4.5300,5.1117,5.7833,6.2083,2.2067,4.6867,5.0983,6.0017
Proud Mary Coffee,6.4733,0.0000,7.8883,6.5783,3.9700,7.6150,10.5933,8.8333,9.7950,7.0333,10.4100,8.7950,1.0750,6.8417,3.4183,7.1683,9.3367,2.8417,1.8850,8.7900,6.8383,8.7333,6.1217,10.1900,7.6883,8.3733,5.1517,12.1017,7.1617,5.9817,5.4500,7.8883,5.5167,5.5567,7.3533,6.9850
Patricia Coffee Brewers,5.4000,7.9917,0.0000,3.6933,7.9200,10.0567,4.8533,7.6400,12.1733,5.0517,6.2317,7.2050,8.6217,2.5883,8.2750,3.3900,10.4800,7.3883,8.9667,8.8850,8.6683,7.1433,9.6817,9.6917,10.4200,3.6950,8.8983,11.3767,3.2450,2.6267,4.5100,0.0000,5.5367,2.7483,8.6933,2.9817
Seven Seeds Coffee Roasters,2.2783,6.3083,3.7900,0.0000,5.8050,7.9417,7.0867,5.5250,11.5517,5.4400,5.4667,5.0900,6.9383,3.1183,6.3883,1.9383,8.3650,5.7033,7.0500,10.3100,8.3583,5.0283,7.9983,11.7100,9.5650,3.5917,6.7833,9.2617,2.0017,3.1233,4.4783,3.7900,2.6517,3.3367,6.5783,3.9833
Industry Beans Fitzroy,4.7133,3.6283,7.0250,5.7133,0.0000,5.2700,10.2567,6.4883,11.6700,6.6967,8.0650,6.4500,4.1933,5.9783,0.9667,6.3033,6.9917,1.5933,2.9083,10.4283,8.4767,6.3883,8.1167,11.8283,9.6833,7.5083,2.6850,9.7567,6.2967,5.1183,5.1133,7.0250,3.7567,4.6933,5.0083,6.6483
Market Lane Coffee HQ,6.2050,7.5167,8.7850,6.1667,4.5583,0.0000,12.0817,1.6483,14.6350,9.8417,7.9333,1.8233,8.0817,8.5233,5.3583,7.0550,2.2117,5.4817,6.5667,13.5733,11.6217,1.9783,11.1067,14.9733,12.6733,8.5867,3.5633,4.9767,7.1183,8.2633,8.2583,8.7850,5.8533,7.8383,0.6300,9.3883
ST. ALi Coffee Roasters,8.7400,10.6217,4.5850,7.0333,11.2600,13.3967,0.0000,10.9800,10.5500,5.4650,8.4983,10.5450,11.0550,5.7200,11.5833,6.7183,13.8200,10.3183,11.0783,6.4317,7.4017,10.4833,10.3217,7.2383,9.1550,5.5100,12.2383,14.7167,6.5733,6.3400,5.9100,4.5850,9.0700,6.4617,12.0333,4.5567
Code Black Coffee Brunswick,6.0567,8.6817,7.7367,5.1183,5.7233,2.9667,11.0333,0.0000,15.8000,9.9750,6.8850,0.8833,9.2467,7.4750,6.5233,6.0067,3.0133,6.6467,7.7317,14.7383,12.7867,0.9033,12.2717,16.1383,13.8383,7.5383,4.7283,4.2950,6.0700,7.4800,9.0133,7.7367,6.3433,7.7600,1.6967,8.3400
Axil Coffee Roasters,12.1067,9.9517,11.6867,11.7367,11.2467,14.4317,10.6383,15.6500,0.0000,10.0967,15.8550,15.6117,9.7500,11.0800,11.4917,12.3267,16.1117,11.0450,9.7167,7.7517,8.0933,15.5500,5.3983,8.9650,3.2850,13.5317,11.9683,18.7483,12.3200,10.8167,8.2383,11.6867,11.5483,10.3917,14.1700,10.4867
Dukes Coffee Roasters,5.6850,7.5333,2.8833,4.8350,8.7233,11.2717,5.1900,8.9300,11.1433,0.0000,8.3700,8.4950,8.1633,2.2633,8.1950,5.1100,11.7700,6.9300,8.6050,9.4267,7.7067,8.4333,9.2233,10.2333,9.1950,5.8333,9.7017,12.6667,5.1733,2.9550,3.2850,2.8833,5.8600,3.0767,9.9833,0.9717
Rumble Coffee Roasters,6.4033,10.2850,6.5217,5.1833,7.3267,9.2717,8.2450,6.8550,15.9767,9.8650,0.0000,6.4200,10.7283,7.3533,7.9883,4.6800,9.6950,8.2500,9.1967,13.2050,12.7833,6.3583,12.4233,14.0117,13.9900,4.4283,8.3050,10.5917,4.7433,7.3583,8.9033,6.5217,6.7333,7.5550,7.9083,8.2183
Wide Open Road,5.6750,8.6167,7.3550,4.7367,5.6583,2.9883,10.6517,0.8283,15.6417,9.5933,6.5033,0.0000,9.1050,7.0933,6.3650,5.6250,3.4117,6.5817,7.5733,14.4633,12.5117,0.4017,12.1133,15.8633,13.6800,7.1567,4.6633,4.5650,5.6883,7.0983,8.6317,7.3550,5.9617,7.3783,1.6250,7.9583
Aunty Peg's,7.1867,1.4167,8.1267,6.8167,4.9950,8.4667,10.8317,9.6850,9.4517,7.2717,10.9350,9.6467,0.0000,7.0800,4.4433,7.4067,10.1883,3.8667,2.4617,8.4467,6.4950,9.5850,5.9233,9.8467,7.4900,8.6117,6.0033,12.9533,7.4000,6.2200,5.6883,8.1267,6.5417,5.7950,8.2050,7.2233
Brother Baba Budan,5.1483,7.6600,2.6067,4.2983,8.3200,10.8100,6.0300,8.3933,12.3717,5.2433,7.1283,7.9583,8.2900,0.0000,7.9433,4.2867,11.2333,7.0567,8.6350,10.2667,9.0600,7.8967,9.3500,11.0733,10.4233,4.5917,9.2983,12.1300,4.1417,2.2950,4.6383,2.6067,5.2050,2.4167,9.4467,3.1217
Lune Croissanterie Fitzroy,5.0917,3.2050,7.7533,5.8683,1.2150,5.1600,10.9850,6.3783,11.4433,7.4250,7.9550,6.3400,3.7700,6.7067,0.0000,6.7567,6.8817,1.9050,2.0933,10.4383,8.4867,6.2783,7.9150,11.8383,9.4817,8.2367,2.6967,9.6467,6.8200,5.8467,5.8417,7.7533,4.4850,5.4217,4.8983,7.3767
Small Batch Roasting Co.,3.8867,7.1667,3.3917,2.1117,6.4550,8.5917,6.5683,6.1750,12.4100,6.2983,4.7000,5.7400,7.7967,3.9617,7.1167,0.0000,9.0150,6.5633,8.2383,10.9950,9.2167,5.6783,8.8567,11.8017,10.4233,2.6567,7.4333,9.9117,0.7283,3.9667,5.3367,3.3917,4.2650,4.1950,7.2283,4.8267
Padre Coffee Brunswick East,7.8217,9.1333,10.4017,7.7833,6.1750,3.4467,13.6983,2.9583,16.1217,11.4583,9.5500,3.4400,9.6983,10.1400,6.9750,8.6717,0.0000,7.0983,8.1833,15.1167,13.1650,3.5950,12.5933,16.5167,14.1600,10.2033,5.1800,3.2167,8.7350,9.8800,9.8750,10.4017,7.4700,9.4550,2.2467,11.0050
Jasper Coffee Fitzroy,4.4433,2.7383,6.6367,5.3250,1.8167,5.7833,9.8683,7.0017,10.9750,6.3083,8.6900,6.9850,3.3033,5.5900,1.2650,5.9150,7.5050,0.0000,2.0500,9.7333,7.7817,7.0133,7.4217,11.1333,8.9883,7.1200,3.3100,10.2700,5.9083,4.7300,4.7250,6.6367,3.4867,4.3050,5.5217,6.2600
Everyday Coffee,5.7367,1.9467,8.1717,6.8600,3.2083,6.4417,11.1517,7.6600,9.7033,7.8433,9.2367,7.6217,1.9533,7.1250,2.6817,7.4500,8.1633,2.1050,0.0000,8.6983,6.7467,7.5600,6.1750,10.0983,7.7417,8.6550,3.9783,10.9283,7.4433,6.2650,6.2600,8.1717,4.7800,5.8400,6.1800,7.7950
MAKER Coffee South Yarra,10.7800,8.8833,8.7300,10.4100,10.2367,13.4217,6.0483,14.6400,7.6617,7.3483,13.3233,14.3883,8.6817,9.3633,10.4817,11.0000,15.1433,10.0333,8.7050,0.0000,3.7733,14.3267,7.8800,2.0133,7.1733,10.6817,10.9583,17.8667,10.9933,9.2450,6.4933,8.7300,10.2217,8.8200,13.1600,8.0717
Square Lane Coffee,8.8567,7.1183,7.7483,8.4867,8.4717,11.6567,6.8333,12.8750,7.4550,6.0617,12.6050,12.4650,6.9167,7.1417,8.7167,9.0767,13.3783,8.2683,6.9400,4.3117,0.0000,12.4033,6.5433,5.7117,5.8367,9.9883,9.1933,16.1017,9.0700,6.8617,4.1100,7.7483,8.2983,6.4367,11.3950,6.5483
Disciple Roasters,5.6133,8.6000,7.2933,4.6750,5.6417,3.2533,10.5900,0.9583,15.5800,9.5317,6.4417,0.4017,9.0433,7.0317,6.3033,5.5633,3.6767,6.5650,7.5117,14.4017,12.4500,0.0000,12.0517,15.8017,13.6183,7.0950,4.7100,4.6950,5.6267,7.0367,8.5700,7.2933,5.9000,7.3167,1.8900,7.8967
Coffee Supreme,8.5567,6.3167,9.4967,8.1867,7.7683,10.9533,11.0250,12.1717,5.5100,8.6417,12.3050,12.1333,6.2133,8.4500,8.0133,8.7767,12.6750,7.5650,6.2367,7.8883,6.6200,12.0717,0.0000,9.3900,2.8117,9.9817,8.4900,15.3983,8.7700,7.5900,6.8967,9.4967,7.9983,7.1650,10.6917,8.5933
Market Lane Prahran Market,12.0333,10.1367,9.2767,11.6633,11.4900,14.6750,6.5950,15.8933,9.7617,7.8950,13.8700,15.6417,9.9350,9.9100,11.7350,11.8417,16.3967,11.2867,9.9583,2.9433,6.3150,15.5800,9.8583,0.0000,9.3033,11.2283,12.2117,19.1200,11.6967,10.1767,7.7467,9.2767,11.4750,9.7517,14.4133,8.6183
Veneziano Coffee Richmond,10.3083,8.1533,9.8883,9.9383,9.5067,12.6917,10.2633,13.9100,3.2633,8.2983,14.0567,13.8717,7.9517,9.2817,9.7517,10.5283,14.4133,9.3033,7.9750,7.4450,6.2950,13.8100,3.1567,8.7433,0.0000,11.7333,10.2283,17.1367,10.5217,9.0183,6.4400,9.8883,9.7500,8.5933,12.4300,8.6883
Five Senses Coffee,5.3900,8.5050,4.0000,3.6833,7.9100,10.0467,5.5750,7.6300,13.6500,7.6367,4.3050,7.1950,9.1350,4.8733,8.5717,3.1750,10.4700,7.9017,9.5767,10.5050,10.5550,7.1333,10.1950,11.3117,11.7617,0.0000,8.8883,11.3667,3.0300,4.9117,6.6750,4.0000,5.7200,5.0333,8.6833,5.7383
Standing Room Fitzroy North,5.5767,5.0400,8.5850,6.3533,2.3367,3.3650,11.8167,4.5833,11.9833,8.2567,8.4400,4.5667,5.4467,7.5383,2.5817,7.2417,5.0867,3.2667,3.9150,10.9783,9.0267,4.6150,8.4550,12.3783,10.0217,8.7733,0.0000,7.8517,7.3050,6.6783,6.6733,8.5850,5.2633,6.2533,3.1033,8.2083
Bench Coffee Co. Roastery,9.4900,11.7000,11.1700,8.5517,8.7417,6.0133,14.4667,4.1017,18.6183,13.4083,9.8767,4.3167,12.2650,10.9083,9.5417,9.4400,2.7517,9.6650,10.7500,17.6133,15.6617,4.3367,15.0900,19.0133,16.6567,10.9717,7.7467,0.0000,9.5033,10.9133,12.4417,11.1700,9.7767,11.1933,4.8133,11.7733
Path Melbourne,3.9100,6.9067,3.1317,2.2033,6.4300,8.5667,6.3083,6.1500,12.1500,6.0383,4.5867,5.7150,7.5367,4.0050,7.0917,1.0567,8.9900,6.3033,7.9783,10.7350,8.9567,5.6533,8.5967,11.5417,10.1633,2.3967,7.4083,9.8867,0.0000,4.0367,5.0767,3.1317,4.2133,3.9350,7.2033,4.8700
Little Rogue,4.2983,6.1317,2.9167,3.8983,6.7917,9.3400,6.3400,7.9933,10.8433,3.7150,7.4333,7.5583,6.7617,1.8700,6.4150,4.1733,10.3700,5.5283,7.1067,9.2717,7.5317,7.4967,7.8217,10.5417,8.8950,4.8967,7.7700,11.7300,4.2367,0.0000,3.1100,2.9167,3.6767,0.8883,8.7150,2.7350
Vacation Coffee CBD,5.0700,5.3100,3.9617,4.7000,6.7967,9.3450,5.5017,9.1133,8.1867,2.4967,8.8183,8.6783,5.9400,3.3550,6.2683,5.2900,11.0667,5.0033,6.3817,6.4800,4.7400,8.6167,6.8183,7.9817,6.2383,6.4950,7.7750,12.8500,5.2833,3.0750,0.0000,3.9617,4.5117,2.6500,9.0833,2.7617
Patricia Coffee Brewers,5.4000,7.9917,0.0000,3.6933,7.9200,10.0567,4.8533,7.6400,12.1733,5.0517,6.2317,7.2050,8.6217,2.5883,8.2750,3.3900,10.4800,7.3883,8.9667,8.8850,8.6683,7.1433,9.6817,9.6917,10.4200,3.6950,8.8983,11.3767,3.2450,2.6267,4.5100,0.0000,5.5367,2.7483,8.6933,2.9817
Market Lane Carlton,1.5550,5.6433,5.6983,3.0367,4.3367,6.9817,9.0383,6.4367,11.2800,5.4700,6.7600,6.0017,6.2083,4.6517,4.2933,4.1333,7.5350,3.6083,4.9550,10.0383,8.0867,5.9400,7.7267,11.4383,9.2933,5.6033,5.3150,10.1733,4.1967,3.7917,4.2067,5.6983,0.0000,3.3667,5.8800,5.5167
Traveller Coffee,3.4100,5.2433,3.0550,3.0400,5.9033,8.4517,6.3950,7.4533,9.9550,2.8267,7.1583,7.0183,5.8733,2.0083,5.5267,3.6300,9.4817,4.6400,6.2183,8.3833,6.6433,6.9567,6.9333,9.6533,8.0067,4.8350,6.8817,11.1900,3.6233,1.1483,2.2217,3.0550,2.7883,0.0000,7.8267,2.8733
Core Roasters,6.1933,7.1283,8.7733,6.1550,4.1700,1.3633,12.0700,1.6967,14.2467,9.4533,7.9217,1.6800,7.6933,8.5117,4.9700,7.0433,2.2217,5.0933,6.1783,13.1850,11.2333,1.8350,10.7183,14.5850,12.2850,8.5750,3.1750,4.9867,7.1067,7.8750,7.8700,8.7733,5.8417,7.4500,0.0000,9.3767
Project Zero,6.2100,7.9550,2.3650,5.3467,9.1450,11.6933,4.2183,9.2933,11.4917,4.2483,7.8850,8.8583,8.5850,2.8100,8.6167,5.0433,12.1333,7.3517,9.0267,8.4550,7.9867,8.7967,9.6450,9.2617,9.6167,5.3483,10.1233,13.0300,4.8983,3.3633,3.7067,2.3650,6.2733,3.4850,10.3467,0.0000
